ZIP_COAL,cate_half_plus1,cate_bed_plus1,cate_joint_half1_bed1,cate_joint_half1_5_bed0_5
11510,-2338462.7179005807,12587245.579407278,10248782.861506697,2785928.712852768
11514,-2335332.8711369704,12568050.462020814,10232717.590883844,2781025.924304952
11516,-2332203.02437336,12548855.344634349,10216652.320260989,2776123.1357571343
11518,-2329073.17760975,12529660.227247884,10200587.049638133,2771220.347209317
11520,-2325943.3308461397,12510465.109861419,10184521.779015278,2766317.5586615
11530,-2322813.4840825293,12491269.992474955,10168456.508392425,2761414.770113684
11542,-2319683.6373189194,12472074.87508849,10152391.23776957,2756511.981565866
11545,-2316553.790555309,12452879.757702027,10136325.967146717,2751609.19301805
11547,-2313423.9437916987,12433684.64031556,10120260.696523862,2746706.4044702323
11548,-2310294.0970280888,12414489.522929097,10104195.425901007,2741803.615922415
11550,-2307164.2502644784,12395294.40554263,10088130.155278152,2736900.827374598
11552,-2304034.403500868,12376099.288156167,10072064.884655299,2731998.0388267813
11553,-2300904.556737258,12356904.170769703,10055999.614032444,2727095.250278964
11554,-2297774.7099736477,12337709.053383237,10039934.343409589,2722192.461731147
11557,-2294644.8632100374,12318513.935996773,10023869.072786735,2717289.6731833303
11558,-2291515.0164464274,12299318.818610307,10007803.80216388,2712386.8846355123
11559,-2288385.169682817,12280123.701223843,9991738.531541025,2707484.096087696
11560,-2285255.3229192067,12260928.583837379,9975673.260918172,2702581.307539879
11561,-2282125.4761555963,12241733.466450915,9959607.990295319,2697678.5189920627
11563,-2278995.6293919864,12222538.349064449,9943542.719672462,2692775.730444245
11565,-2275865.782628376,12203343.231677985,9927477.449049609,2687872.9418964284
11566,-2272735.9358647657,12184148.114291519,9911412.178426754,2682970.1533486107
11568,-2269606.0891011558,12164952.996905055,9895346.907803899,2678067.364800794
11569,-2266476.2423375454,12145757.879518593,9879281.637181045,2673164.5762529774
11570,-2263346.395573935,12126562.762132125,9863216.36655819,2668261.7877051597
11572,-2260216.5488103246,12107367.644745661,9847151.095935337,2663358.9991573435
11575,-2257086.7020467147,12088172.527359195,9831085.82531248,2658456.2106095254
11576,-2253956.8552831043,12068977.409972733,9815020.554689627,2653553.4220617088
11577,-2250827.008519494,12049782.292586267,9798955.284066774,2648650.6335138925
11579,-2247697.161755884,12030587.175199801,9782890.013443917,2643747.8449660745
11580,-2244567.3149922737,12011392.057813339,9766824.742821064,2638845.0564182578
11581,-2241437.4682286633,11992196.940426871,9750759.472198207,2633942.2678704406
11590,-2238307.6214650534,11973001.823040407,9734694.201575354,2629039.4793226235
11596,-2235177.774701443,11953806.705653943,9718628.9309525,2624136.690774807
11598,-2232047.9279378327,11934611.588267481,9702563.660329647,2619233.9022269906
11701,-2228918.0811742228,11915416.470881013,9686498.38970679,2614331.1136791725
11702,-2225788.2344106124,11896221.35349455,9670433.119083937,2609428.325131356
11703,-2222658.387647002,11877026.236108083,9654367.84846108,2604525.5365835386
11704,-2219528.540883392,11857831.11872162,9638302.577838227,2599622.7480357215
11705,-2216398.6941197817,11838636.001335155,9622237.307215374,2594719.959487905
11706,-2213268.8473561713,11819440.88394869,9606172.036592517,2589817.1709400876
11709,-2210139.0005925614,11800245.766562225,9590106.765969664,2584914.3823922705
11710,-2207009.153828951,11781050.64917576,9574041.495346809,2580011.593844453
11713,-2203879.3070653407,11761855.531789297,9557976.224723954,2575108.8052966367
11714,-2200749.4603017303,11742660.414402831,9541910.9541011,2570206.0167488204
11715,-2197619.61353812,11723465.297016367,9525845.683478247,2565303.2282010037
11716,-2194489.76677451,11704270.179629901,9509780.41285539,2560400.4396531857
11717,-2191359.9200108997,11685075.062243437,9493715.142232537,2555497.6511053694
11718,-2188230.0732472893,11665879.944856972,9477649.871609682,2550594.862557552
11719,-2185100.2264836794,11646684.827470506,9461584.600986827,2545692.0740097347
11720,-2181970.379720069,11627489.710084043,9445519.330363976,2540789.2854619185
11722,-2178840.5329564586,11608294.592697578,9429454.059741119,2535886.496914101
11724,-2175710.6861928487,11589099.475311114,9413388.789118264,2530983.7083662837
11725,-2172580.8394292383,11569904.357924648,9397323.518495409,2526080.9198184665
11726,-2169450.992665628,11550709.240538184,9381258.247872556,2521178.13127065
11727,-2166321.145902018,11531514.12315172,9365192.9772497,2516275.3427228327
11729,-2163191.2991384077,11512319.005765254,9349127.706626846,2511372.5541750155
11730,-2160061.4523747973,11493123.88837879,9333062.436003992,2506469.765627199
11732,-2156931.6056111874,11473928.770992324,9316997.165381137,2501566.977079381
11733,-2153801.758847577,11454733.65360586,9300931.894758282,2496664.1885315645
11735,-2150671.9120839667,11435538.536219396,9284866.624135429,2491761.399983748
11738,-2147542.0653203567,11416343.418832932,9268801.353512574,2486858.6114359307
11739,-2144412.2185567464,11397148.301446466,9252736.082889719,2481955.8228881136
11741,-2141282.371793136,11377953.184060002,9236670.812266866,2477053.034340297
11742,-2138152.525029526,11358758.066673536,9220605.54164401,2472150.245792479
11743,-2135022.6782659157,11339562.949287072,9204540.271021156,2467247.4572446626
11746,-2131892.8315023053,11320367.831900608,9188475.000398302,2462344.668696846
11749,-2128762.984738695,11301172.714514142,9172409.729775447,2457441.8801490283
11751,-2125633.1379750846,11281977.597127678,9156344.459152594,2452539.091601212
11752,-2122503.2912114747,11262782.47974121,9140279.188529737,2447636.303053394
11753,-2119373.4444478643,11243587.362354748,9124213.917906884,2442733.5145055773
11754,-2116243.597684254,11224392.244968284,9108148.64728403,2437830.725957761
11755,-2113113.750920644,11205197.12758182,9092083.376661176,2432927.937409944
11756,-2109983.9041570337,11186002.010195354,9076018.10603832,2428025.1488621263
11757,-2106854.0573934233,11166806.892808888,9059952.835415464,2423122.360314309
11758,-2103724.2106298134,11147611.775422424,9043887.56479261,2418219.571766492
11762,-2100594.363866203,11128416.65803596,9027822.294169758,2413316.7832186753
11763,-2097464.5171025926,11109221.540649496,9011757.023546904,2408413.994670859
11764,-2094334.6703389827,11090026.42326303,8995691.752924047,2403511.206123041
11765,-2091204.8235753723,11070831.305876566,8979626.482301194,2398608.4175752243
11766,-2088074.976811762,11051636.1884901,8963561.211678337,2393705.629027407
11767,-2084945.1300481518,11032441.071103636,8947495.941055484,2388802.8404795905
11768,-2081815.283284542,11013245.953717172,8931430.67043263,2383900.0519317733
11769,-2078685.4365209313,10994050.836330708,8915365.399809778,2378997.263383957
11770,-2075555.5897573212,10974855.718944242,8899300.12918692,2374094.4748361395
11771,-2072425.742993711,10955660.601557776,8883234.858564066,2369191.6862883214
11772,-2069295.8962301007,10936465.484171312,8867169.58794121,2364288.897740505
11776,-2066166.0494664903,10917270.366784848,8851104.317318358,2359386.109192689
11777,-2063036.2027028804,10898075.249398384,8835039.046695504,2354483.3206448713
11778,-2059906.3559392702,10878880.132011918,8818973.776072647,2349580.532097054
11779,-2056776.5091756596,10859685.014625452,8802908.505449792,2344677.743549237
11780,-2053646.6624120495,10840489.897238988,8786843.23482694,2339774.95500142
11782,-2050516.8156484393,10821294.779852524,8770777.964204084,2334872.166453603
11783,-2047386.9688848292,10802099.66246606,8754712.693581231,2329969.377905787
11784,-2044257.1221212188,10782904.545079594,8738647.422958376,2325066.589357969
11786,-2041127.2753576085,10763709.42769313,8722582.15233552,2320163.800810152
11787,-2037997.4285939983,10744514.310306665,8706516.881712666,2315261.012262335
11788,-2034867.5818303882,10725319.1929202,8690451.611089813,2310358.223714518
11789,-2031737.735066778,10706124.075533736,8674386.340466958,2305455.435166701
11790,-2028607.8883031677,10686928.958147272,8658321.069844104,2300552.646618885
11791,-2025478.0415395573,10667733.840760807,8642255.79922125,2295649.8580710674
11792,-2022348.1947759471,10648538.72337434,8626190.528598394,2290747.0695232498
11793,-2019218.348012337,10629343.605987877,8610125.25797554,2285844.280975433
11795,-2016088.5012487266,10610148.488601413,8594059.987352686,2280941.4924276164
11796,-2012958.6544851167,10590953.371214949,8577994.716729833,2276038.7038797997
11797,-2009828.8077215063,10571758.253828483,8561929.446106976,2271135.915331982
11798,-2006698.960957896,10552563.136442017,8545864.17548412,2266233.1267841645
11801,-2003569.1141942858,10533368.019055553,8529798.904861268,2261330.338236348
11803,-2000439.2674306757,10514172.901669089,8513733.634238413,2256427.549688531
11804,-1997309.4206670653,10494977.784282625,8497668.36361556,2251524.7611407144
11901,-1994179.573903455,10475782.66689616,8481603.092992706,2246621.9725928977
11931,-1991049.727139845,10456587.549509695,8465537.82236985,2241719.18404508
11933,-1987919.8803762344,10437392.432123229,8449472.551746994,2236816.3954972625
11934,-1984790.0336126243,10418197.314736765,8433407.281124141,2231913.606949446
11937,-1981660.1868490141,10399002.1973503,8417342.010501286,2227010.818401629
11940,-1978530.340085404,10379807.079963837,8401276.739878433,2222108.0298538124
11941,-1975400.4933217936,10360611.96257737,8385211.469255578,2217205.241305995
11942,-1972270.6465581835,10341416.845190905,8369146.198632722,2212302.452758177
11946,-1969140.7997945733,10322221.727804441,8353080.928009869,2207399.6642103605
11947,-1966010.953030963,10303026.610417977,8337015.657387015,2202496.875662544
11948,-1962881.1062673528,10283831.493031513,8320950.38676416,2197594.087114727
11949,-1959751.2595037424,10264636.375645047,8304885.116141305,2192691.2985669095
11950,-1956621.4127401323,10245441.258258583,8288819.845518451,2187788.510019093
11951,-1953491.565976522,10226246.140872117,8272754.574895595,2182885.7214712757
11952,-1950361.7192129118,10207051.023485653,8256689.304272741,2177982.932923459
11953,-1947231.8724493019,10187855.90609919,8240624.033649888,2173080.144375642
11954,-1944102.0256856913,10168660.788712725,8224558.763027034,2168177.3558278256
11955,-1940972.1789220811,10149465.67132626,8208493.492404178,2163274.567280008
11957,-1937842.332158471,10130270.553939793,8192428.221781323,2158371.77873219
11959,-1934712.4853948606,10111075.43655333,8176362.951158469,2153468.9901843737
11960,-1931582.6386312505,10091880.319166865,8160297.6805356145,2148566.201636557
11961,-1928452.7918676403,10072685.201780401,8144232.409912761,2143663.41308874
11963,-1925322.94510403,10053490.084393935,8128167.139289905,2138760.6245409227
11964,-1922193.0983404196,10034294.96700747,8112101.868667049,2133857.8359931055
11967,-1919063.2515768097,10015099.849621005,8096036.598044196,2128955.047445288
11968,-1915933.4048131995,9995904.732234541,8079971.327421342,2124052.2588974717
11970,-1912803.558049589,9976709.614848077,8063906.056798488,2119149.4703496555
11971,-1909673.7112859788,9957514.497461611,8047840.786175633,2114246.6818018374
11972,-1906543.8645223686,9938319.380075147,8031775.515552779,2109343.8932540207
11976,-1903414.0177587583,9919124.262688681,8015710.244929923,2104441.1047062036
11977,-1900284.1709951481,9899929.145302217,7999644.97430707,2099538.3161583864
11978,-1897154.324231538,9880734.027915753,7983579.703684215,2094635.5276105697
11980,-1894024.4774679276,9861538.91052929,7967514.433061361,2089732.7390627533
12007,-1890894.6307043177,9842343.793142824,7951449.162438506,2084829.9505149354
12008,-1887764.7839407073,9823148.675756358,7935383.89181565,2079927.1619671178
12009,-1884634.9371770967,9803953.558369894,7919318.621192795,2075024.3734193016
12010,-1881505.0904134866,9784758.44098343,7903253.350569943,2070121.584871485
12015,-1878375.2436498764,9765563.323596966,7887188.079947089,2065218.7963236682
12017,-1875245.396886266,9746368.2062105,7871122.809324232,2060316.0077758506
12018,-1872115.5501226557,9727173.088824036,7855057.53870138,2055413.219228034
12019,-1868985.7033590458,9707977.97143757,7838992.268078523,2050510.4306802163
12020,-1865855.8565954356,9688782.854051106,7822926.99745567,2045607.6421323996
12022,-1862726.009831825,9669587.736664642,7806861.726832816,2040704.853584583
12023,-1859596.1630682151,9650392.619278178,7790796.456209962,2035802.0650367665
12024,-1856466.316304605,9631197.501891712,7774731.185587106,2030899.2764889486
12025,-1853336.4695409946,9612002.384505246,7758665.914964251,2025996.4879411312
12027,-1850206.6227773845,9592807.267118782,7742600.644341399,2021093.6993933143
12028,-1847076.7760137743,9573612.149732318,7726535.373718543,2016190.9108454974
12029,-1843946.929250164,9554417.032345854,7710470.10309569,2011288.122297681
12031,-1840817.0824865536,9535221.914959388,7694404.832472835,2006385.3337498633
12032,-1837687.2357229434,9516026.797572922,7678339.561849979,2001482.545202046
12033,-1834557.3889593333,9496831.680186458,7662274.291227125,1996579.756654229
12035,-1831427.5421957232,9477636.562799994,7646209.020604271,1991676.9681064123
12036,-1828297.6954321128,9458441.44541353,7630143.749981416,1986774.1795585956
12037,-1825167.8486685026,9439246.328027064,7614078.479358561,1981871.391010778
12041,-1822038.0019048925,9420051.2106406,7598013.208735709,1976968.602462961
12042,-1818908.155141282,9400856.093254134,7581947.938112851,1972065.8139151442
12043,-1815778.308377672,9381660.97586767,7565882.667489998,1967163.025367327
12045,-1812648.4616140618,9362465.858481206,7549817.396867145,1962260.2368195103
12046,-1809518.6148504512,9343270.741094742,7533752.126244291,1957357.4482716941
12047,-1806388.768086841,9324075.623708276,7517686.855621435,1952454.6597238765
12051,-1803258.921323231,9304880.50632181,7501621.58499858,1947551.8711760582
12052,-1800129.0745596206,9285685.388935346,7485556.314375726,1942649.0826282422
12053,-1796999.2277960104,9266490.271548882,7469491.043752871,1937746.2940804255
12054,-1793869.3810324003,9247295.154162418,7453425.773130018,1932843.5055326084
12056,-1790739.53426879,9228100.036775952,7437360.502507162,1927940.7169847912
12057,-1787609.6875051798,9208904.919389488,7421295.231884308,1923037.9284369745
12058,-1784479.8407415694,9189709.802003022,7405229.961261453,1918135.1398891564
12059,-1781349.9939779593,9170514.684616558,7389164.690638599,1913232.3513413402
12060,-1778220.147214349,9151319.567230094,7373099.420015745,1908329.562793524
12061,-1775090.3004507388,9132124.44984363,7357034.149392892,1903426.774245707
12062,-1771960.4536871286,9112929.332457164,7340968.878770036,1898523.9856978892
12063,-1768830.6069235185,9093734.215070698,7324903.60814718,1893621.197150072
12065,-1765700.760159908,9074539.097684234,7308838.3375243265,1888718.408602255
12066,-1762570.913396298,9055343.98029777,7292773.066901472,1883815.6200544382
12067,-1759441.0666326876,9036148.862911306,7276707.796278619,1878912.831506622
12068,-1756311.2198690774,9016953.74552484,7260642.525655763,1874010.042958804
12069,-1753181.3731054673,8997758.628138375,7244577.255032907,1869107.2544109863
12070,-1750051.526341857,8978563.51075191,7228511.984410053,1864204.46586317
12071,-1746921.6795782468,8959368.393365446,7212446.7137872,1859301.677315353
12072,-1743791.8328146366,8940173.275978982,7196381.443164346,1854398.8887675367
12074,-1740661.9860510263,8920978.158592517,7180316.17254149,1849496.100219719
12075,-1737532.1392874161,8901783.041206053,7164250.901918637,1844593.311671902
12076,-1734402.2925238058,8882587.923819587,7148185.631295781,1839690.523124085
12077,-1731272.4457601956,8863392.806433123,7132120.3606729265,1834787.7345762681
12078,-1728142.5989965852,8844197.689046659,7116055.090050073,1829884.9460284517
12082,-1725012.752232975,8825002.571660195,7099989.819427219,1824982.1574806347
12083,-1721882.905469365,8805807.454273729,7083924.548804363,1820079.3689328171
12084,-1718753.0587057546,8786612.336887263,7067859.278181508,1815176.5803849995
12085,-1715623.2119421444,8767417.219500799,7051794.007558654,1810273.7918371828
12086,-1712493.365178534,8748222.102114335,7035728.736935801,1805371.0032893661
12087,-1709363.518414924,8729026.98472787,7019663.466312947,1800468.2147415495
12090,-1706233.6716513135,8709831.867341405,7003598.19569009,1795565.4261937318
12092,-1703103.8248877034,8690636.749954939,6987532.925067235,1790662.6376459142
12093,-1699973.9781240933,8671441.632568475,6971467.654444382,1785759.8490980975
12094,-1696844.131360483,8652246.51518201,6955402.3838215275,1780857.0605502808
12095,-1693714.2845968727,8633051.397795547,6939337.113198673,1775954.2720024642
12106,-1690584.4378332626,8613856.280409083,6923271.84257582,1771051.4834546475
12110,-1687454.5910696522,8594661.163022617,6907206.571952965,1766148.6949068299
12116,-1684324.744306042,8575466.045636151,6891141.301330109,1761245.9063590122
12117,-1681194.8975424317,8556270.928249687,6875076.030707255,1756343.117811196
12118,-1678065.0507788216,8537075.810863223,6859010.760084402,1751440.3292633789
12120,-1674935.2040152114,8517880.693476759,6842945.489461547,1746537.5407155622
12121,-1671805.357251601,8498685.576090293,6826880.218838692,1741634.7521677453
12122,-1668675.510487991,8479490.458703827,6810814.948215837,1736731.963619927
12123,-1665545.6637243805,8460295.341317363,6794749.677592983,1731829.1750721107
12124,-1662415.8169607704,8441100.223930899,6778684.406970128,1726926.3865242938
12125,-1659285.9701971605,8421905.106544435,6762619.136347275,1722023.5979764771
12130,-1656156.12343355,8402709.98915797,6746553.865724419,1717120.8094286597
12132,-1653026.2766699397,8383514.871771505,6730488.595101565,1712218.020880843
12134,-1649896.4299063296,8364319.75438504,6714423.32447871,1707315.2323330254
12136,-1646766.5831427192,8345124.636998576,6698358.053855856,1702412.4437852087
12137,-1643636.736379109,8325929.51961211,6682292.783233001,1697509.6552373916
